kind,N,best_T,best_median_ms
almost_sorted,6900,5,0.0
almost_sorted,7000,5,0.0
almost_sorted,7100,5,0.0
almost_sorted,7200,5,0.0
almost_sorted,7300,5,0.0
almost_sorted,7400,5,0.0
almost_sorted,7500,5,0.0
almost_sorted,7600,5,0.0
almost_sorted,7700,5,0.0
almost_sorted,7800,5,0.0
almost_sorted,7900,5,0.0
almost_sorted,8000,5,0.0
almost_sorted,8100,5,0.0
almost_sorted,8200,5,0.0
almost_sorted,8300,5,0.0
almost_sorted,8400,5,0.0
almost_sorted,8500,5,0.0
almost_sorted,8600,5,0.0
almost_sorted,8700,5,0.0
almost_sorted,8800,5,0.0
almost_sorted,8900,5,0.0
almost_sorted,9000,5,0.0
almost_sorted,9100,5,0.0
almost_sorted,9200,5,0.0
almost_sorted,9300,5,0.0
almost_sorted,9400,5,0.0
almost_sorted,9500,5,0.0
almost_sorted,9600,5,0.0
almost_sorted,9700,5,0.0
almost_sorted,9800,5,0.0
almost_sorted,9900,5,0.0
almost_sorted,10000,5,0.0
almost_sorted,10100,5,0.0
almost_sorted,10200,5,0.0
almost_sorted,10300,5,0.0
almost_sorted,10400,5,0.0
almost_sorted,10500,5,0.0
almost_sorted,10600,5,0.0
almost_sorted,10700,5,0.0
almost_sorted,10800,5,0.0
almost_sorted,10900,5,0.0
almost_sorted,11000,5,0.0
almost_sorted,11100,5,0.0
almost_sorted,11200,5,0.0
almost_sorted,11300,5,0.0
almost_sorted,11400,5,0.0
almost_sorted,11500,5,0.0
almost_sorted,11600,5,0.0
almost_sorted,11700,5,0.0
almost_sorted,11800,5,0.0
almost_sorted,11900,5,0.0
almost_sorted,12000,5,0.0
almost_sorted,12100,5,0.0
almost_sorted,12200,5,0.0
almost_sorted,12300,5,0.0
almost_sorted,12400,5,0.0
almost_sorted,12500,5,0.0
almost_sorted,12600,5,0.0
almost_sorted,12700,5,0.0
almost_sorted,12800,5,0.0
almost_sorted,12900,5,0.0
almost_sorted,13000,5,0.0
almost_sorted,13100,5,0.0
almost_sorted,13200,5,0.0
almost_sorted,13300,5,0.0
almost_sorted,13400,5,0.0
almost_sorted,13500,5,0.0
almost_sorted,13600,5,0.0
almost_sorted,13700,5,0.0
almost_sorted,13800,5,0.0
almost_sorted,13900,5,0.0
almost_sorted,14000,5,0.0
almost_sorted,14100,5,0.0
almost_sorted,14200,5,0.0
almost_sorted,14300,5,0.0
almost_sorted,14400,5,0.0
almost_sorted,14500,5,0.0
almost_sorted,14600,5,0.0
almost_sorted,14700,5,0.0
almost_sorted,14800,5,0.0
almost_sorted,14900,5,0.0
almost_sorted,15000,5,0.0
almost_sorted,15100,5,0.0
almost_sorted,15200,5,0.0
almost_sorted,15300,5,0.0
almost_sorted,15400,5,0.0
almost_sorted,15500,5,0.0
almost_sorted,15600,5,0.0
almost_sorted,15700,5,0.0
almost_sorted,15800,5,0.0
almost_sorted,15900,5,0.0
almost_sorted,16000,5,0.0
almost_sorted,16100,5,0.0
almost_sorted,16200,5,0.0
almost_sorted,16300,5,0.0
almost_sorted,16400,5,0.0
almost_sorted,16500,5,0.0
almost_sorted,16600,5,0.0
almost_sorted,16700,5,0.0
almost_sorted,16800,5,0.0
almost_sorted,16900,5,0.0
almost_sorted,17000,5,0.0
almost_sorted,17100,5,0.0
almost_sorted,17200,5,0.0
almost_sorted,17300,5,0.0
almost_sorted,17400,5,0.0
almost_sorted,17500,5,0.0
almost_sorted,17600,5,0.0
almost_sorted,17700,5,0.0
almost_sorted,17800,5,0.0
almost_sorted,17900,5,0.0
almost_sorted,18000,5,0.0
almost_sorted,18100,5,0.0
almost_sorted,18200,5,0.0
almost_sorted,18300,5,0.0
almost_sorted,18400,5,0.0
almost_sorted,18500,5,0.0
almost_sorted,18600,5,0.0
almost_sorted,18700,5,0.0
almost_sorted,18800,5,0.0
almost_sorted,18900,5,0.0
almost_sorted,19000,5,0.0
almost_sorted,19100,5,0.0
almost_sorted,19200,5,0.0
almost_sorted,19300,5,0.0
almost_sorted,19400,5,0.0
almost_sorted,19500,5,0.0
almost_sorted,19600,5,0.0
almost_sorted,19700,5,0.0
almost_sorted,19800,5,0.0
almost_sorted,19900,5,0.0
almost_sorted,20000,5,0.0
almost_sorted,20100,5,0.0
almost_sorted,20200,5,0.0
almost_sorted,20300,5,0.0
almost_sorted,20400,5,0.0
almost_sorted,20500,5,0.0
almost_sorted,20600,5,0.0
almost_sorted,20700,5,0.0
almost_sorted,20800,5,0.0
almost_sorted,20900,5,0.0
almost_sorted,21000,5,0.0
almost_sorted,21100,5,0.0
almost_sorted,21200,5,0.0
almost_sorted,21300,5,0.0
almost_sorted,21400,5,0.0
almost_sorted,21500,5,0.0
almost_sorted,21600,5,0.0
almost_sorted,21700,5,0.0
almost_sorted,21800,5,0.0
almost_sorted,21900,5,0.0
almost_sorted,22000,5,0.0
almost_sorted,22100,5,0.0
almost_sorted,22200,5,0.0
almost_sorted,22300,5,0.0
almost_sorted,22400,5,0.0
almost_sorted,22500,5,0.0
almost_sorted,22600,5,0.0
almost_sorted,22700,5,0.0
almost_sorted,22800,5,0.0
almost_sorted,22900,5,0.0
almost_sorted,23000,5,0.0
almost_sorted,23100,5,0.0
almost_sorted,23200,5,0.0
almost_sorted,23300,5,0.0
almost_sorted,23400,5,0.0
almost_sorted,23500,5,0.0
almost_sorted,23600,5,0.0
almost_sorted,23700,5,0.0
almost_sorted,23800,5,0.0
almost_sorted,23900,5,0.0
almost_sorted,24000,5,0.0
almost_sorted,24100,5,0.0
almost_sorted,24200,5,0.0
