mode,N,seed,Shat,time_ms
wide,1100,1446966304139,0.954536984672686,0.042106000000000
wide,1100,1446966304140,0.724741043918150,0.026254000000000
wide,1100,1446966304141,0.954536984672686,0.026737000000000
wide,1100,1446966304142,0.954536984672686,0.026306000000000
wide,1100,1446966304143,0.821962403468146,0.026537000000000
wide,1100,1446966304144,0.795447487227238,0.026065000000000
wide,1100,1446966304145,0.874992235949962,0.026579000000000
wide,1100,1446966304146,0.963375290086322,0.026464000000000
wide,1100,1446966304147,0.954536984672686,0.026412000000000
wide,1100,1446966304148,0.883830541363598,0.026527000000000
wide,1100,1446966304149,0.936860373845414,0.027082000000000
wide,1100,1446966304150,0.883830541363598,0.026716000000000
wide,1100,1446966304151,1.051758344222682,0.027334000000000
wide,1100,1446966304152,1.042920038809046,0.026632000000000
wide,1100,1446966304153,1.042920038809046,0.027113000000000
wide,1100,1446966304154,0.972213595499958,0.031482000000000
wide,1600,2104678259625,0.887144905893712,0.038176000000000
wide,1600,2104678259626,1.008671605331206,0.038648000000000
wide,1600,2104678259627,0.887144905893712,0.037999000000000
wide,1600,2104678259628,0.947908255612459,0.038847000000000
wide,1600,2104678259629,0.795999881315591,0.038124000000000
wide,1600,2104678259630,1.154503644656200,0.039172000000000
wide,1600,2104678259631,1.008671605331206,0.039109000000000
wide,1600,2104678259632,0.960060925556208,0.038093000000000
wide,1600,2104678259633,0.917526580753085,0.038554000000000
wide,1600,2104678259634,0.881068570921837,0.037653000000000
wide,1600,2104678259635,0.966137260528083,0.039204000000000
wide,1600,2104678259636,0.941831920640584,0.038868000000000
wide,1600,2104678259637,1.093740294937453,0.039057000000000
wide,1600,2104678259638,0.984366265443708,0.038659000000000
wide,1600,2104678259639,0.984366265443708,0.038114000000000
wide,1600,2104678259640,1.008671605331206,0.039758000000000
wide,1600,2104678259641,0.899297575837461,0.039088000000000
wide,1600,2104678259642,1.002595270359331,0.038994000000000
wide,1600,2104678259643,0.741312866568718,0.037904000000000
wide,1600,2104678259644,0.856763231034338,0.038460000000000
wide,1600,2104678259645,0.978289930471833,0.038973000000000
wide,1600,2104678259646,0.966137260528083,0.043142000000000
wide,1600,2104678259647,0.783847211371841,0.038680000000000
wide,1600,2104678259648,0.947908255612459,0.037904000000000
wide,1600,2104678259649,0.929679250696835,0.037999000000000
wide,1600,2104678259650,0.881068570921837,0.039549000000000
wide,1600,2104678259651,1.020824275274956,0.038826000000000
wide,1600,2104678259652,0.917526580753085,0.039182000000000
wide,1600,2104678259653,0.874992235949962,0.038302000000000
wide,1600,2104678259654,0.765618206456217,0.036751000000000
wide,2100,2762390215125,1.013879892449956,0.050706000000000
wide,2100,2762390215126,0.972213595499958,0.050571000000000
wide,2100,2762390215127,1.041657423749955,0.051083000000000
wide,2100,2762390215128,0.962954418399958,0.050633000000000
wide,2100,2762390215129,0.949065652749959,0.050539000000000
wide,2100,2762390215130,1.013879892449956,0.051094000000000
wide,2100,2762390215131,0.990731949699957,0.051011000000000
wide,2100,2762390215132,0.967584006949958,0.050351000000000
wide,2100,2762390215133,0.976843184049958,0.063782000000000
wide,2100,2762390215134,0.796289230599966,0.049187000000000
wide,2100,2762390215135,0.861103470299963,0.050236000000000
wide,2100,2762390215136,1.018509480999956,0.049701000000000
wide,2100,2762390215137,1.004620715349956,0.051335000000000
wide,2100,2762390215138,1.004620715349956,0.050173000000000
wide,2100,2762390215139,0.902769767249961,0.049774000000000
wide,2100,2762390215140,0.981472772599957,0.049733000000000
wide,2100,2762390215141,1.018509480999956,0.054478000000000
wide,2100,2762390215142,0.898140178699961,0.049774000000000
wide,2100,2762390215143,0.847214704649963,0.050664000000000
wide,2100,2762390215144,0.912028944349961,0.050843000000000
wide,2100,2762390215145,0.981472772599957,0.049721000000000
wide,2100,2762390215146,0.995361538249957,0.050351000000000
wide,2100,2762390215147,0.898140178699961,0.049816000000000
wide,2100,2762390215148,0.962954418399958,0.049795000000000
wide,2100,2762390215149,0.953695241299959,0.073221000000000
wide,2100,2762390215150,0.898140178699961,0.049785000000000
wide,2100,2762390215151,0.995361538249957,0.051042000000000
wide,2100,2762390215152,0.888881001599962,0.050875000000000
wide,2100,2762390215153,1.018509480999956,0.050801000000000
wide,2100,2762390215154,0.745363756549968,0.048936000000000
wide,2600,3420102170625,0.912385066546114,0.061288000000000
